node_id,X_m,Y_m,Z_m,Temperature_C
202,0.185677050000001,0.036394,0.0,369.68
203,0.186479090000001,0.036083013,0.0,370.4
204,0.18569421,0.03585501,0.0,370.37
205,0.19004535,0.031673,0.0,375.44
206,0.19066906,0.031864003,0.0,375.53
207,0.19041538,0.031234011,0.0,375.69
208,0.1779623,0.062268004,0.0,351.3
209,0.1774702,0.062041,0.0,351.64
210,0.17734193,0.062554002,0.0,351.5
211,0.18500709,0.031687007,0.0,376.64
212,0.185356140000001,0.031167001,0.0,377.0
213,0.18473434,0.031270013,0.0,377.51
214,0.165480130000001,0.028605014,0.0,418.04
215,0.1652112,0.029106006,0.0,418.65
216,0.15687322,0.020857007,0.0,445.13
217,0.15628004,0.020844013,0.0,445.8
218,0.15654707,0.021589011,0.0,445.28
219,0.15799999,0.021826014,0.0,443.93
220,0.1586132,0.022226006,0.0,443.36
221,0.15869236,0.021540001,0.0,443.67
222,0.176651000000001,0.028114006,0.0,394.46
223,0.17615509,0.028114006,0.0,395.43
224,0.17639923,0.028609008,0.0,394.95
225,0.16020727,0.022409007,0.0,442.79
226,0.15972232,0.02267401,0.0,442.66
227,0.16020727,0.022904009,0.0,442.41
228,0.158611290000001,0.023008004,0.0,442.81
229,0.157727240000001,0.023283005,0.0,443.17
230,0.1584773,0.023917005,0.0,442.03
231,0.159522050000001,0.02851601,0.0,433.68
232,0.15995121,0.028767005,0.0,432.4
233,0.15997409,0.028165013,0.0,433.27
234,0.15983724,0.027484,0.0,434.72
235,0.159520140000001,0.028026,0.0,434.43
236,0.159681320000001,0.025225014,0.0,439.53
237,0.16020727,0.025382012,0.0,439.03
238,0.16041421,0.026341006,0.0,436.26
239,0.16017437,0.026878,0.0,435.29
240,0.16068601,0.026754007,0.0,434.52
241,0.123598090000001,0.015134007,0.0,567.46
242,0.12309837,0.015142009,0.0,567.62
243,0.12332725,0.015638009,0.0,567.17
244,0.11536502,0.015638009,0.0,587.98
245,0.11561203,0.015061006,0.0,587.19
246,0.11507225,0.015117005,0.0,589.85
247,0.13104915,0.017028004,0.0,559.34
248,0.131739140000001,0.016929001,0.0,556.78
249,0.131267070000001,0.016397,0.0,561.37
250,0.135589120000001,0.016616002,0.0,528.93
251,0.13508701,0.016595006,0.0,532.53
252,0.143543240000001,0.017839,0.0,481.48
253,0.14329338,0.01735501,0.0,483.49
254,0.142910000000001,0.017802,0.0,485.13
255,0.0854520800000005,0.006328002,0.0,621.37
256,0.08588123,0.0067590029999999,0.0,623.21
257,0.0859260500000003,0.0061970059999999,0.0,623.9
258,0.15088415,0.021125004,0.0,454.96
259,0.15009498,0.020957008,0.0,456.57
260,0.15048694,0.02159001,0.0,455.09
261,0.15912914,0.026344002,0.0,437.98
262,0.15903329,0.025555,0.0,439.44
263,0.15844917,0.025873006,0.0,439.54
264,0.148406980000001,0.021420002,0.0,459.21
265,0.14837503,0.021947012,0.0,458.49
266,0.14886331,0.021634013,0.0,458.01
267,0.16758537,0.043681011,0.0,362.58
268,0.16787719,0.043367014,0.0,362.47
269,0.167511940000001,0.043229014,0.0,362.59
270,0.0083470300000003,0.0009690079999999,0.0,736.97
271,0.0079212100000001,0.0008480099999999,0.0,737.53
272,0.0003080300000002,0.0047080069999999,0.0,746.95
273,0.0005474000000003,0.0049360099999999,0.0,746.3
274,0.0006852100000003,0.0046330099999999,0.0,745.92
275,0.0136041599999999,0.0041630119999999,0.0,691.54
276,0.0139751400000003,0.0036730019999999,0.0,688.5
277,0.0134553900000007,0.0036760119999999,0.0,693.5
278,0.0048851900000004,0.004857004,0.0,734.9
279,0.0051560400000001,0.005694002,0.0,733.15
280,0.0055980600000005,0.0051360129999999,0.0,732.55
281,0.0204253200000002,0.003697008,0.0,641.7
282,0.01993227,0.003697008,0.0,644.36
283,0.0201439800000003,0.0042010099999999,0.0,642.98
284,0.0209183600000005,0.00369601,0.0,639.19
285,0.0238289800000002,0.0047040139999999,0.0,626.87
286,0.0241003000000006,0.004200012,0.0,626.33
287,0.0236053400000005,0.004200012,0.0,627.9
288,0.0260782200000005,0.004200012,0.0,621.48
289,0.02584695,0.00369601,0.0,622.11
290,0.0255832600000003,0.004200012,0.0,622.48
291,0.0424313500000002,0.0041730109999999,0.0,669.36
292,0.0426511700000001,0.0036600089999999,0.0,672.18
293,0.0421390500000003,0.0036760119999999,0.0,667.71
294,0.0108180000000004,0.0006889999999999,0.0,739.17
295,0.0109953800000007,0.0003330109999999,0.0,741.91
296,0.0107421800000003,0.0002650029999999,0.0,743.05
297,0.0334963799999999,0.004200012,0.0,623.59
298,0.0330023700000002,0.004200012,0.0,622.46
299,0.0332550999999999,0.0047040139999999,0.0,622.69
300,0.0138211200000002,0.00320001,0.0,690.33
301,0.0143122600000005,0.00320001,0.0,685.66
302,0.0216851199999999,0.00320001,0.0,635.68
303,0.02141094,0.00369601,0.0,636.83
304,0.0339913300000001,0.004200012,0.0,624.87
305,0.03422927,0.00369601,0.0,625.7
306,0.0337362200000006,0.00369601,0.0,624.35
307,0.02781915,0.00369601,0.0,619.28
308,0.0280752099999999,0.00320001,0.0,619.1
309,0.0275840700000005,0.00320001,0.0,619.53
310,0.0448532100000003,0.0029760009999999,0.0,698.57
311,0.0453262300000006,0.002950013,0.0,702.11
312,0.0452222799999999,0.0024619999999999,0.0,710.66
313,0.0456852900000007,0.0032130039999999,0.0,698.27
314,0.0456533400000003,0.003668011,0.0,688.99
315,0.0461053800000002,0.003447011,0.0,693.34
316,0.04233026,0.00320001,0.0,669.64
317,0.0418381600000002,0.00320001,0.0,665.35
318,0.0445094100000007,0.0016050039999999,0.0,721.25
319,0.0443501400000006,0.0020700099999999,0.0,710.01
320,0.0448889700000006,0.0019930009999999,0.0,716.43
321,0.0460791500000006,0.0020180049999999,0.0,728.23
322,0.0463533400000005,0.001563013,0.0,737.67
323,0.0459041600000001,0.001447007,0.0,734.26
324,0.0481100000000003,0.002305001,0.0,753.17
325,0.0483050300000007,0.001838014,0.0,753.36
326,0.0478663400000006,0.0018310099999999,0.0,751.29
327,0.0202112200000002,0.00320001,0.0,642.95
328,0.0197191200000004,0.00320001,0.0,645.68
329,0.0487222599999999,0.0049080109999999,0.0,636.78
330,0.0487222599999999,0.0044650139999999,0.0,637.89
331,0.0482950200000003,0.0044650139999999,0.0,639.26
332,0.0487432400000003,0.0004400019999999,0.0,754.87
333,0.0489463800000003,0.000811011,0.0,754.76
334,0.0411391200000004,0.0036890059999999,0.0,660.0
335,0.0409202500000001,0.004195005,0.0,658.21
336,0.0414190200000002,0.0041910109999999,0.0,661.75
337,0.0322570799999999,0.00369601,0.0,621.17
338,0.0324993100000004,0.00320001,0.0,621.6
339,0.0320081700000001,0.00320001,0.0,620.76
